"Deployment #","Date","Time","OctoID","Bottle ID","Event_type","Species","Behavior","Notes","1st Analyst ID","2nd Analyst ID","3rd Analyst ID","4th Analyst ID"
2,"7/8/2021","17:04:28",NA,NA,"non-resident non-interaction",NA,"deploy_start",NA,NA,NA,NA,NA
2,"7/8/2021","17:04:28","A1","BID1","resident non-interaction","octopus_rubescens","enter_bottle","start of deployment","Jesse",NA,NA,NA
2,"7/8/2021","17:04:28","A1","BID1","resident non-interaction","octopus_rubescens","frame_arrival","start of deployment","Jesse",NA,NA,NA
2,"7/8/2021","17:25:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","17:29:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure","17:30 SUNSET","Jesse",NA,NA,NA
2,"7/8/2021","17:50:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","17:52:00",NA,"BID1","non-resident non-interaction","red rock crab","touch_bottle",NA,"Jesse",NA,NA,NA
2,"7/8/2021","17:53:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","18:20:10",NA,"BID1","non-resident non-interaction","cancer crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","18:20:23",NA,"BID1","nonresident/resident interaction","cancer crab","predation","tried to eat him but unsuccesful","Jesse",NA,NA,NA
2,"7/8/2021","18:21:23",NA,"BID1","non-resident non-interaction","cancer crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","18:39:25","A1","BID1","resident non-interaction","octopus_rubescens","exit_bottle",NA,"Jesse",NA,NA,NA
2,"7/8/2021","18:39:32","A1","BID1","resident non-interaction","octopus_rubescens","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","18:42:00","A1","BID1","resident non-interaction","octopus_rubescens","frame_arrival","brings back crab to eat at den and wanders around bottle for a while","Jesse",NA,NA,NA
2,"7/8/2021","18:47:00","A1","BID1","resident non-interaction","octopus_rubescens","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","18:48:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","18:50:00",NA,"BID1","non-resident non-interaction","red rock crab","touch_bottle",NA,"Jesse",NA,NA,NA
2,"7/8/2021","18:51:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","18:51:53","A1","BID1","resident non-interaction","octopus_rubescens","frame_arrival","Check to make sure arrival time is correct",NA,NA,NA,NA
2,"7/8/2021","18:53:00","A1","BID1","resident non-interaction","octopus_rubescens","enter_bottle","brings crab lunch into den","Jesse",NA,NA,NA
2,"7/8/2021","18:58:00","A1","BID1","resident non-interaction","octopus_rubescens","fortify",NA,"Jesse",NA,NA,NA
2,"7/8/2021","19:15:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","19:17:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","19:33:00",NA,"BID1","non-resident non-interaction","dungeness crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","19:34:00",NA,"BID1","non-resident non-interaction","dungeness crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:02:00","A1","BID1","resident non-interaction","octopus_rubescens","exit_bottle",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:02:00","A1","BID1","resident non-interaction","octopus_rubescens","depositing_waste_outside_den","Depositing dead crab outside den, lots of shrimp and crabs visiting the site","Jesse",NA,NA,NA
2,"7/8/2021","20:03:00","A1","BID1","resident non-interaction","octopus_rubescens","enter_bottle",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:15:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:17:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:18:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:20:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:21:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:21:43",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:28:00","A1","BID1","resident non-interaction","octopus_rubescens","fortify",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:36:00",NA,"BID1","non-resident non-interaction","chimera","frame_arrival","Chimera enters, sits above bottle and leaves","Jesse",NA,NA,NA
2,"7/8/2021","20:37:00",NA,"BID1","non-resident non-interaction","chimera","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:40:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:43:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:51:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_arrival",NA,"Jesse",NA,NA,NA
2,"7/8/2021","20:53:00",NA,"BID1","non-resident non-interaction","red rock crab","frame_departure",NA,"Jesse",NA,NA,NA
2,"7/8/2021","21:47:00","A1","BID1","resident non-interaction","octopus_rubescens","fortify",NA,"Jesse",NA,NA,NA
2,"7/8/2021","22:40:00","A1","BID1","resident non-interaction","octopus_rubescens","fortify",NA,"Jesse",NA,NA,NA
2,"7/8/2021","22:46:00","A1","BID1","resident non-interaction","octopus_rubescens","fortify",NA,"Jesse",NA,NA,NA
2,"7/8/2021","22:54:00","A1","BID1","resident non-interaction","octopus_rubescens","fortify",NA,"Jesse",NA,NA,NA
2,"7/8/2021","22:59:00","A1","BID1","resident non-interaction","octopus_rubescens","fortify",NA,"Jesse",NA,NA,NA
2,"7/8/2021","23:05:00","A1","BID1","resident non-interaction","octopus_rubescens","fortify",NA,"Jesse",NA,NA,NA
2,"7/8/2021","23:07:00","A1","BID1","resident non-interaction","octopus_rubescens","fortify",NA,"Jesse",NA,NA,NA
