"Deployment","Date","H2O Sunrise","H20 Sunset","RealTime Sunrise","RealTime Sunset","light duration underwater","light duration above water","difference","half difference","real H2O sunrise","offset","offset_min"
2,2021-07-08,NA,1899-12-30 17:11:00,1899-12-30 05:19:00,1899-12-30 09:11:00,NA,NA,NA,NA,NA,NA,NA
2,2021-07-09,1899-12-30 04:00:00,1899-12-30 17:49:00,1899-12-30 05:20:00,1899-12-30 09:10:00,1899-12-30 13:49:00,1899-12-30 15:50:00,1899-12-30 02:01:00,1899-12-30 01:00:30,1899-12-30 06:20:30,1899-12-30 02:20:30,140
2,2021-07-10,1899-12-30 03:41:00,NA,1899-12-30 05:21:00,1899-12-30 09:10:00,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2021-07-11,1899-12-30 03:40:00,1899-12-30 18:25:00,1899-12-30 05:22:00,1899-12-30 09:09:00,1899-12-30 14:45:00,1899-12-30 15:47:00,1899-12-30 01:02:00,1899-12-30 00:31:00,1899-12-30 05:53:00,1899-12-30 02:13:00,133
3,2021-07-12,1899-12-30 03:40:00,NA,1899-12-30 05:23:00,1899-12-30 09:08:00,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2021-07-15,NA,1899-12-30 15:40:00,1899-12-30 05:26:00,1899-12-30 09:06:00,NA,NA,NA,NA,NA,NA,NA
4,2021-07-16,1899-12-30 02:07:00,1899-12-30 15:13:00,1899-12-30 05:27:00,1899-12-30 09:05:00,1899-12-30 13:06:00,1899-12-30 15:38:00,1899-12-30 02:32:00,1899-12-30 01:16:00,1899-12-30 06:43:00,1899-12-30 04:36:00,276
4,2021-07-17,1899-12-30 02:20:00,1899-12-30 16:10:00,1899-12-30 05:28:00,1899-12-30 09:04:00,1899-12-30 13:50:00,1899-12-30 15:36:00,1899-12-30 01:46:00,1899-12-30 00:53:00,1899-12-30 06:21:00,1899-12-30 04:01:00,241
4,2021-07-18,1899-12-30 01:53:00,NA,1899-12-30 05:29:00,1899-12-30 09:03:00,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2021-07-20,NA,NA,1899-12-30 05:32:00,1899-12-30 09:01:00,NA,NA,NA,NA,NA,NA,NA
5,2021-07-21,1899-12-30 04:27:00,1899-12-30 19:00:00,1899-12-30 05:33:00,1899-12-30 09:00:00,1899-12-30 14:33:00,1899-12-30 15:27:00,1899-12-30 00:54:00,1899-12-30 00:27:00,1899-12-30 06:00:00,1899-12-30 01:33:00,93
5,2021-07-22,1899-12-30 04:09:00,1899-12-30 19:05:00,1899-12-30 05:34:00,1899-12-30 08:59:00,1899-12-30 14:56:00,1899-12-30 15:25:00,1899-12-30 00:29:00,1899-12-30 00:14:30,1899-12-30 05:48:30,1899-12-30 01:39:30,99
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2021-07-23,NA,1899-12-30 17:10:00,1899-12-30 05:35:00,1899-12-30 08:58:00,NA,NA,NA,NA,NA,NA,NA
6,2021-07-24,1899-12-30 04:04:00,1899-12-30 17:36:00,1899-12-30 05:36:00,1899-12-30 08:57:00,1899-12-30 13:32:00,1899-12-30 15:21:00,1899-12-30 01:49:00,1899-12-30 00:54:30,1899-12-30 06:30:30,1899-12-30 02:26:30,146
6,2021-07-25,1899-12-30 03:40:00,1899-12-30 17:30:00,1899-12-30 05:37:00,1899-12-30 08:55:00,1899-12-30 13:50:00,1899-12-30 15:18:00,1899-12-30 01:28:00,1899-12-30 00:44:00,1899-12-30 06:21:00,1899-12-30 02:41:00,161
6,2021-07-26,1899-12-30 03:35:00,NA,1899-12-30 05:39:00,1899-12-30 08:54:00,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2021-07-28,NA,1899-12-30 17:14:00,1899-12-30 05:41:00,1899-12-30 08:51:00,NA,NA,NA,NA,NA,NA,NA
7,2021-07-29,1899-12-30 03:44:00,1899-12-30 17:23:00,1899-12-30 05:42:00,1899-12-30 08:50:00,1899-12-30 13:39:00,1899-12-30 15:08:00,1899-12-30 01:29:00,1899-12-30 00:44:30,1899-12-30 06:26:30,1899-12-30 02:42:30,162
7,2021-07-30,1899-12-30 03:47:00,NA,1899-12-30 05:44:00,1899-12-30 08:49:00,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
